       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.134143,  1.358365,  0.637723,  0.410069,  0.070017,  2.246147,  7.229132,  1.382269,  0.000766 
  0.137116,  1.295001,  0.629250,  0.399396,  0.073991,  2.575399,  7.199682,  1.226999,  0.103565 
  0.132978,  1.355642,  0.650689,  0.412258,  0.150135,  1.949370,  7.165307,  1.342094,  0.095305 
  0.129176,  1.380191,  0.639784,  0.369404,  0.109503,  2.044999,  7.210440,  1.306907,  0.097001 
  0.136104,  0.651075,  0.657509,  0.369861,  0.098579,  2.694486,  7.189319,  1.431694,  0.145088 
  0.135497,  1.329833,  0.648235,  0.419815,  0.116362,  2.618815,  7.329885,  1.166640,  0.036296 
  0.136995,  1.399416,  0.670780,  0.415096,  0.252820,  2.068107,  7.284070,  1.201038,  0.047718 
  0.139669,  0.750775,  0.691320,  0.366305,  0.089434,  2.082769,  7.380933,  1.343757,  0.033226 
  0.132474,  0.615511,  0.698468,  0.411334,  0.078042,  2.582051,  7.047823,  1.285671,  0.035673 
  0.131846,  1.223670,  0.672502,  0.419263,  0.191453,  2.256214,  7.395815,  1.261224,  0.123414 
  0.136394,  1.327110,  0.697201,  0.400788,  0.294545,  2.280504,  6.960870,  1.443238,  0.026118 
  0.139933,  1.055119,  0.642907,  0.418115,  0.187560,  2.280854,  7.191273,  1.192008,  0.117873 
  0.137748,  1.301910,  0.645631,  0.406963,  0.139505,  1.928932,  7.368714,  1.151965,  0.039354 
  0.135232,  1.112183,  0.627471,  0.368486,  0.316237,  2.722846,  7.320970,  0.899487,  0.005220 
  0.139521,  1.389702,  0.696434,  0.412500,  0.234170,  2.216255,  7.053997,  0.875212,  0.015882 
  0.132872,  1.034512,  0.699832,  0.391095,  0.097189,  1.934052,  6.950924,  0.718629,  0.071594 
  0.137175,  0.677534,  0.680336,  0.377293,  0.202607,  2.381165,  6.972669,  0.973755,  0.038800 
  0.136641,  1.242041,  0.664277,  0.406245,  0.325253,  2.333767,  7.009673,  0.740740,  0.058595 
  0.132701,  1.300366,  0.647619,  0.403932,  0.088198,  1.687037,  6.996484,  1.126073,  0.053832 
  0.133069,  1.124620,  0.659611,  0.402372,  0.233682,  1.506502,  7.031900,  1.274236,  0.098025 
  0.136578,  0.903556,  0.686671,  0.365155,  0.293094,  2.367029,  7.196395,  0.981605,  0.048272 
  0.130175,  1.234969,  0.670975,  0.363170,  0.094462,  2.748800,  7.481679,  1.395040,  0.088975 
  0.131109,  1.204202,  0.635137,  0.376123,  0.082072,  1.789493,  7.079209,  0.984753,  0.046927 
  0.129083,  1.311584,  0.695577,  0.413640,  0.055632,  2.697725,  7.295306,  1.102783,  0.067135 
  0.139105,  0.672738,  0.660693,  0.415334,  0.138019,  1.532587,  7.084536,  0.933165,  0.051708 
  0.130373,  1.337149,  0.617535,  0.384579,  0.231443,  2.296128,  7.001247,  1.339930,  0.140459 
  0.139967,  0.656155,  0.621698,  0.411200,  0.305144,  2.415390,  7.394970,  1.393400,  0.137365 
  0.129637,  1.044511,  0.612581,  0.374933,  0.066658,  2.639866,  7.495486,  0.731555,  0.069828 
  0.134819,  0.630671,  0.667576,  0.361957,  0.134355,  1.977512,  7.273700,  0.891395,  0.067051 
  0.130993,  1.256104,  0.676621,  0.383915,  0.079100,  1.995806,  6.934689,  1.156034,  0.022259 
