       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.131447,  0.747488,  0.644802,  0.414175,  0.315211,  2.466653,  7.106706,  1.098096,  0.041303 
  0.134392,  0.778337,  0.619493,  0.394715,  0.221603,  2.697212,  7.486241,  1.036332,  0.040724 
  0.129278,  0.688784,  0.655711,  0.387626,  0.132983,  2.346340,  7.403987,  1.076225,  0.041097 
  0.135223,  0.872861,  0.676919,  0.367732,  0.115658,  2.099281,  7.485006,  0.993663,  0.041299 
  0.137200,  1.214151,  0.615431,  0.374904,  0.146555,  2.510638,  7.179815,  0.967292,  0.025901 
  0.133543,  0.631272,  0.670799,  0.372309,  0.352347,  2.621790,  7.261424,  0.811406,  0.021436 
  0.132150,  1.264667,  0.622554,  0.390401,  0.343330,  1.542477,  7.130872,  0.883423,  0.029141 
  0.132860,  0.848719,  0.668711,  0.406216,  0.232754,  2.436673,  7.251258,  0.953164,  0.025440 
  0.137839,  0.917692,  0.640559,  0.410968,  0.078975,  2.288950,  7.469036,  0.821766,  0.021081 
  0.135910,  1.199316,  0.683819,  0.406884,  0.341508,  1.677027,  7.117726,  0.832986,  0.021121 
  0.135080,  1.075794,  0.641982,  0.397275,  0.222307,  1.985870,  7.434410,  0.997136,  0.012402 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.971509,  0.026169 
  0.134269,  1.220284,  0.619271,  0.419451,  0.089355,  2.615356,  7.025658,  0.765794,  0.039037 
  0.129281,  1.206076,  0.636790,  0.382563,  0.333285,  1.546079,  7.036606,  0.965844,  0.009478 
  0.132445,  1.162004,  0.655163,  0.363252,  0.293896,  2.418379,  7.014408,  0.896832,  0.028398 
  0.129373,  0.761695,  0.643549,  0.360875,  0.336166,  2.317966,  7.436551,  0.769858,  0.039097 
  0.130620,  0.816407,  0.688347,  0.377578,  0.258725,  1.826751,  6.986492,  0.966746,  0.041428 
  0.133656,  1.323375,  0.611389,  0.414457,  0.056819,  1.582624,  7.292917,  0.892133,  0.006949 
  0.134928,  1.160622,  0.680686,  0.403757,  0.198417,  2.048075,  6.991132,  0.826216,  0.029334 
  0.129967,  0.834209,  0.681152,  0.386457,  0.180912,  2.591692,  7.499416,  0.772482,  0.035818 
  0.134376,  1.156070,  0.643649,  0.377325,  0.116086,  2.474575,  7.421925,  0.870047,  0.010161 
  0.131489,  0.969879,  0.634865,  0.386689,  0.252721,  2.354524,  7.140060,  0.844766,  0.020831 
  0.131953,  1.211794,  0.630047,  0.362213,  0.160919,  2.247416,  6.943288,  0.843973,  0.032017 
  0.130753,  0.681793,  0.642612,  0.402157,  0.222495,  2.613619,  7.069228,  0.905627,  0.029636 
  0.139455,  1.261339,  0.686279,  0.408490,  0.064835,  1.544548,  7.098846,  0.858981,  0.021086 
  0.137776,  0.717312,  0.620480,  0.362525,  0.224138,  2.456048,  7.128731,  0.837769,  0.021372 
  0.139188,  1.384816,  0.660086,  0.419971,  0.075744,  2.213497,  6.916054,  0.937512,  0.006595 
  0.132962,  0.824414,  0.694732,  0.391951,  0.206049,  2.332409,  7.178989,  1.043641,  0.020790 
  0.133458,  0.671953,  0.621534,  0.399549,  0.073195,  2.354774,  6.911715,  1.055133,  0.030924 
  0.137876,  1.134041,  0.634669,  0.365758,  0.345147,  2.734326,  7.050119,  0.945332,  0.006587 
  0.129396,  1.328930,  0.639352,  0.373706,  0.279408,  2.531820,  7.060937,  0.846221,  0.016763 
  0.139219,  1.112093,  0.641351,  0.390298,  0.284473,  2.584602,  6.979286,  0.886146,  0.006721 
  0.129817,  0.858446,  0.660475,  0.404975,  0.252663,  2.488755,  7.022655,  0.884152,  0.013747 
  0.129427,  1.045979,  0.676050,  0.366770,  0.178352,  1.734404,  7.409820,  0.877708,  0.028732 
