       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.049820,  0.014071 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.066440,  0.059643 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.868627,  0.069942 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.907408,  0.063114 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.788849,  0.076028 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.818765,  0.042218 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.972782,  0.039847 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.984970,  0.034874 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.757824,  0.062577 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.764472,  0.047785 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.089126,  0.022873 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.937325,  0.022666 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.914056,  0.029926 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.859763,  0.076794 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.843142,  0.082145 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.016462,  0.077497 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.004274,  0.058125 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.713969,  0.078583 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.723941,  0.077157 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.048595,  0.049232 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.065215,  0.002389 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.870202,  0.015561 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.908983,  0.009764 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.790423,  0.036144 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.820340,  0.066705 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.965492,  0.067827 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.982113,  0.062569 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.742544,  0.079531 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.781326,  0.050379 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.083819,  0.040133 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.945314,  0.035678 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.930910,  0.041309 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.858888,  0.024859 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.842267,  0.032911 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.017337,  0.021713 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.005148,  0.027747 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.714844,  0.082867 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.724816,  0.083576 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.045037,  0.077925 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.074954,  0.057282 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.887055,  0.049322 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.899244,  0.054295 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.798413,  0.058889 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.808385,  0.023474 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.964618,  0.007995 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.981238,  0.006750 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.744119,  0.055720 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.782900,  0.070056 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  1.085393,  0.068025 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.946889,  0.062499 
  0.134468,  0.906795,  0.637616,  0.367598,  0.261935,  2.704683,  7.276136,  0.923620,  0.072471 
