       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.132062,  0.939676,  0.664174,  0.404044,  0.349696,  2.315175,  7.429027, -0.955323,  0.484166 
  0.132457,  0.821767,  0.634500,  0.417006,  0.113361,  2.453476,  7.237478, -0.306686,  0.495796 
  0.130266,  0.693006,  0.650916,  0.383645,  0.273532,  1.556229,  7.297197,  1.927022,  0.005248 
  0.135317,  0.780594,  0.613124,  0.407078,  0.153397,  2.388833,  6.915463,  1.804785,  0.162859 
  0.129966,  0.777668,  0.688667,  0.410987,  0.234079,  1.822720,  7.047846, -0.816442,  0.491000 
  0.136965,  0.612774,  0.653777,  0.381610,  0.266673,  2.706837,  7.457971,  1.716641,  0.136710 
  0.133929,  0.703574,  0.660194,  0.393839,  0.268505,  1.781887,  7.117393,  0.088638,  0.499574 
  0.133511,  0.611961,  0.614795,  0.369529,  0.126530,  1.975770,  7.133944, -0.186176,  0.007849 
  0.137642,  0.631796,  0.616442,  0.408674,  0.226678,  2.355221,  7.355752,  0.346762,  0.471737 
  0.132353,  0.735601,  0.637028,  0.382938,  0.257507,  2.263094,  7.150065, -0.979148,  0.099532 
  0.138061,  0.853104,  0.690929,  0.402601,  0.194356,  2.422927,  7.062286,  1.073253,  0.346540 
  0.131737,  0.646387,  0.693573,  0.403810,  0.211983,  2.074900,  7.092479,  1.700826,  0.003316 
  0.136237,  1.161105,  0.648784,  0.374063,  0.221528,  1.565726,  7.385917, -0.698142,  0.345266 
  0.139249,  0.754257,  0.676772,  0.377091,  0.317510,  1.587172,  7.354502,  1.181516,  0.316307 
  0.132978,  0.767588,  0.628715,  0.408608,  0.075734,  1.563976,  6.927000,  1.245950,  0.361211 
  0.134881,  0.961746,  0.628289,  0.390881,  0.238687,  1.956951,  7.022839, -0.140043,  0.487372 
  0.135803,  1.207643,  0.658523,  0.383294,  0.069689,  1.650457,  7.014075, -0.545565,  0.168106 
  0.131523,  0.670327,  0.669998,  0.370301,  0.238069,  2.737385,  7.254087, -0.946575,  0.254159 
  0.129059,  1.254750,  0.644561,  0.397528,  0.126965,  1.523405,  7.335479,  1.641849,  0.097012 
  0.132852,  1.067542,  0.610952,  0.397788,  0.325007,  2.378329,  7.142278,  0.562760,  0.483027 
  0.130845,  1.078435,  0.696160,  0.401452,  0.228693,  1.652208,  7.419013,  1.964637,  0.416154 
  0.138943,  0.807176,  0.686386,  0.416299,  0.178432,  2.333425,  7.188017, -0.903481,  0.011083 
  0.135654,  0.760475,  0.642759,  0.393744,  0.111611,  1.606954,  7.216257,  1.919816,  0.133106 
  0.138126,  0.756980,  0.622040,  0.391140,  0.139177,  1.865698,  7.462001, -0.676780,  0.000563 
  0.131583,  0.843593,  0.631562,  0.385583,  0.103538,  2.480961,  7.193814, -0.775121,  0.164449 
  0.134596,  1.322341,  0.615975,  0.362657,  0.344682,  2.515579,  7.029405, -0.819067,  0.324978 
  0.131646,  0.994464,  0.687653,  0.366302,  0.288444,  2.578646,  7.013378, -0.270153,  0.033274 
  0.135081,  1.178948,  0.660408,  0.387236,  0.269597,  2.110044,  7.088758, -0.457352,  0.010068 
  0.131936,  1.329454,  0.619787,  0.390416,  0.274102,  2.634185,  7.107501, -0.183413,  0.093725 
  0.132890,  1.389648,  0.624212,  0.415575,  0.068766,  1.860840,  6.957962,  0.957140,  0.280584 
