       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1,         X,         Y 
  0.139464,  1.200341,  0.631933,  0.383390,  0.284773,  1.587171,  7.299139,  0.955842,  0.124054 
  0.135199,  1.121329,  0.683053,  0.373069,  0.337388,  2.110044,  7.338586,  1.301549,  0.066412 
  0.137348,  0.653839,  0.678589,  0.386888,  0.322611,  2.220990,  7.111189,  0.767477,  0.093968 
  0.130859,  1.160469,  0.667357,  0.369221,  0.143884,  2.343885,  7.061362,  0.873381,  0.131860 
  0.129807,  0.673226,  0.620903,  0.402407,  0.335312,  1.564413,  6.900279,  0.822412,  0.090280 
  0.136166,  0.928919,  0.677783,  0.377567,  0.075821,  2.747845,  7.392321,  0.846789,  0.097210 
  0.139598,  0.916482,  0.694775,  0.387988,  0.242620,  2.482711,  7.127554,  0.802234,  0.134482 
  0.138083,  1.033903,  0.670779,  0.375618,  0.277547,  1.959051,  7.182022,  1.453408,  0.123788 
  0.132398,  1.146813,  0.622222,  0.378292,  0.171789,  1.670020,  6.971722,  1.454691,  0.017049 
  0.133408,  0.668349,  0.690334,  0.389137,  0.203358,  2.093325,  7.195944,  0.927267,  0.123726 
  0.139799,  0.970132,  0.635988,  0.403389,  0.072605,  2.088204,  6.998224,  0.776108,  0.141381 
  0.134165,  0.790891,  0.663492,  0.379349,  0.058276,  1.549970,  7.489166,  1.483966,  0.111003 
  0.135497,  1.016954,  0.619860,  0.383672,  0.227436,  2.435269,  6.902478,  0.713475,  0.093983 
  0.133069,  0.605432,  0.625016,  0.367054,  0.325277,  1.835018,  6.936673,  1.085774,  0.138508 
  0.130964,  1.326419,  0.637256,  0.381398,  0.253856,  2.737385,  7.439095,  0.943946,  0.079654 
  0.134144,  0.975985,  0.695576,  0.369428,  0.188927,  2.017085,  7.266776,  1.267141,  0.088036 
  0.131469,  0.920018,  0.623864,  0.412985,  0.062876,  2.362442,  7.218537,  1.034454,  0.120879 
  0.133617,  0.721390,  0.630344,  0.410011,  0.116386,  1.608004,  6.925803,  1.362432,  0.129102 
  0.136776,  0.806986,  0.615512,  0.395542,  0.164747,  2.713314,  7.185319,  0.743217,  0.092590 
  0.135233,  0.614943,  0.638465,  0.387070,  0.145716,  1.532158,  7.246504,  1.197510,  0.086199 
  0.135125,  1.304715,  0.621329,  0.368353,  0.257662,  2.609195,  7.325698,  1.394274,  0.129015 
  0.129572,  0.946965,  0.672518,  0.372502,  0.271258,  2.541489,  6.912427,  1.195761,  0.142811 
  0.134277,  1.098405,  0.635366,  0.419496,  0.198941,  1.866136,  7.349512,  0.700412,  0.089683 
  0.131070,  0.972937,  0.655094,  0.378039,  0.089458,  1.929859,  7.418025,  0.899858,  0.130141 
  0.129051,  1.284597,  0.629578,  0.388284,  0.278199,  2.304233,  6.996083,  0.791270,  0.089856 
  0.138858,  0.607139,  0.666730,  0.370042,  0.171626,  2.157442,  7.375769,  0.824978,  0.129175 
  0.131317,  0.638963,  0.616416,  0.389909,  0.261997,  1.652208,  7.499238,  0.737268,  0.139389 
  0.137083,  1.134985,  0.617424,  0.373290,  0.282595,  2.003036,  7.221037,  1.094055,  0.094644 
  0.136535,  1.365989,  0.697315,  0.365569,  0.345285,  2.706836,  6.968238,  0.808275,  0.099270 
  0.137502,  1.239789,  0.624509,  0.387385,  0.188785,  2.422927,  7.008173,  0.978912,  0.117793 
  0.138979,  0.748888,  0.695069,  0.412399,  0.197069,  1.666213,  7.249004,  0.751940,  0.093803 
  0.135735,  0.968367,  0.692333,  0.390451,  0.285913,  2.577683,  7.108804,  0.860527,  0.102255 
  0.129418,  1.123099,  0.641213,  0.384154,  0.070753,  1.682713,  7.031499,  1.148149,  0.091290 
  0.130396,  1.342578,  0.673901,  0.386528,  0.107247,  2.087241,  7.228731,  1.292193,  0.021253 
  0.139226,  1.275271,  0.677827,  0.361113,  0.273823,  2.236308,  7.049940,  1.151298,  0.141097 
  0.133518,  0.778761,  0.695884,  0.401722,  0.222857,  2.605912,  6.964381,  0.727330,  0.092237 
  0.130488,  0.752424,  0.622012,  0.360264,  0.123673,  2.662239,  7.041075,  0.880238,  0.099739 
  0.137310,  1.194673,  0.674400,  0.376969,  0.135539,  1.865698,  6.944596,  1.335465,  0.066214 
  0.130679,  1.281002,  0.639177,  0.372995,  0.325697,  2.365637,  7.258580,  0.706452,  0.138589 
  0.134987,  1.061035,  0.686202,  0.361025,  0.233454,  1.650457,  7.254183,  1.370339,  0.016358 
  0.137973,  0.682434,  0.676842,  0.382716,  0.208826,  1.521873,  7.015429,  0.707735,  0.089224 
  0.130824,  1.383303,  0.616765,  0.414303,  0.183017,  2.074899,  7.340281,  0.802326,  0.082927 
  0.129066,  0.767300,  0.648675,  0.415392,  0.077259,  1.943952,  6.931773,  0.723014,  0.085132 
  0.130538,  1.135617,  0.662327,  0.383780,  0.216519,  1.839832,  7.213882,  0.777133,  0.093667 
  0.133307,  1.127082,  0.629368,  0.393294,  0.157982,  2.594620,  7.275246,  1.305306,  0.131132 
  0.134888,  0.954426,  0.679221,  0.413311,  0.315378,  2.642413,  7.173760,  0.737176,  0.097713 
  0.134029,  1.388993,  0.637461,  0.373552,  0.123279,  2.330624,  7.240196,  0.761553,  0.088180 
  0.135340,  0.647968,  0.651895,  0.396414,  0.344158,  2.227717,  7.044523,  0.705372,  0.081340 
  0.129722,  1.383954,  0.690919,  0.403861,  0.329829,  2.164562,  7.448879,  0.844517,  0.083600 
  0.139514,  0.738564,  0.655726,  0.414246,  0.238929,  2.619510,  7.255189,  0.847666,  0.128862 
  0.138987,  1.392611,  0.668830,  0.368690,  0.083955,  2.032345,  6.921910,  0.740129,  0.083375 
  0.136149,  0.960969,  0.694490,  0.361968,  0.211797,  2.079000,  7.306237,  0.722867,  0.137177 
  0.131809,  1.217759,  0.612410,  0.399577,  0.352177,  2.012432,  6.961600,  0.756108,  0.083750 
  0.131116,  1.178985,  0.659250,  0.409998,  0.159040,  2.646645,  7.358629,  0.717152,  0.081482 
  0.134532,  1.257144,  0.613486,  0.393397,  0.296582,  1.561073,  7.401918,  0.732548,  0.081298 
  0.134189,  0.615168,  0.666046,  0.365934,  0.193144,  2.744505,  7.057282,  0.745844,  0.081871 
